Reporting period,ORGANIZATION,DONOR,CLUSTER,ACTIVITY DESCRIPTION,IMPLEMENTING PARTNER,REGION,DISTRICT                           ,SPECIFIC LOCATION ,RURAL/URBAN         ,STATUS             ,DURATION,START DATE (DD/MM/YY),END DATE (DD/MM/YY),Y_COORD,X_COORD
Quarter III,WFP,Unspecified,Food Security,General Food Distribution,AAP,Bari,Caluula,Xogaad,,Completed,,###############################################################################################################################################################################################################################################################,,,
Quarter III,WFP,Unspecified,Food Security,General Food Distribution,AAP,Bari,Caluula,Tooxin,,Completed,,###############################################################################################################################################################################################################################################################,,,
Quarter III,WFP,Unspecified,Food Security,General Food Distribution,AAP,Bari,Caluula,Ceel-Laas,,Completed,,###############################################################################################################################################################################################################################################################,,,
Quarter III,WFP,Unspecified,Food Security,General Food Distribution,ADEC,Sanaag,Laasqoray,Balibusle,,Completed,,###############################################################################################################################################################################################################################################################,,,
Quarter III,WFP,Unspecified,Food Security,General Food Distribution,ADEC,Sanaag,Laasqoray,Baraagahaqol,,Completed,,###############################################################################################################################################################################################################################################################,,,
Quarter III,WFP,Unspecified,Food Security,General Food Distribution,ADEC,Sanaag,Laasqoray,Buran,,Completed,,###############################################################################################################################################################################################################################################################,,,
Quarter III,WFP,Unspecified,Food Security,General Food Distribution,ADEC,Sanaag,Laasqoray,Carmo,,Completed,,###############################################################################################################################################################################################################################################################,,,
Quarter III,WFP,Unspecified,Food Security,General Food Distribution,ADEC,Sanaag,Laasqoray,Cawsane,,Completed,,###############################################################################################################################################################################################################################################################,,,
Quarter III,WFP,Unspecified,Food Security,General Food Distribution,ADEC,Sanaag,Laasqoray,Ceelaayo,,Completed,,###############################################################################################################################################################################################################################################################,,,
Quarter III,WFP,Unspecified,Food Security,General Food Distribution,ADEC,Sanaag,Laasqoray,Ceel Lahelay,,Completed,,###############################################################################################################################################################################################################################################################,,,
Quarter III,WFP,Unspecified,Food Security,General Food Distribution,ADEC,Sanaag,Laasqoray,Dhahar,,Completed,,###############################################################################################################################################################################################################################################################,,,
Quarter III,WFP,Unspecified,Food Security,General Food Distribution,ADEC,Sanaag,Laasqoray,Higlo,,Completed,,###############################################################################################################################################################################################################################################################,,,
Quarter III,WFP,Unspecified,Food Security,General Food Distribution,ADEC,Sanaag,Laasqoray,Kaladhac,,Completed,,###############################################################################################################################################################################################################################################################,,,
Quarter III,WFP,Unspecified,Food Security,General Food Distribution,ADEC,Sanaag,Laasqoray,Misir,,Completed,,###############################################################################################################################################################################################################################################################,,,
Quarter III,WFP,Unspecified,Food Security,General Food Distribution,ADEC,Sanaag,Laasqoray,Af-urur,,Completed,,###############################################################################################################################################################################################################################################################,,,
Quarter III,WFP,Unspecified,Food Security,General Food Distribution,ADEC,Sanaag,Laasqoray,Boodacad,,Completed,,###############################################################################################################################################################################################################################################################,,,
Quarter III,WFP,Unspecified,Food Security,General Food Distribution,ADEC,Sanaag,Laasqoray,Gacalguulle,,Completed,,###############################################################################################################################################################################################################################################################,,,
Quarter III,WFP,Unspecified,Food Security,General Food Distribution,ADEC,Sanaag,Laasqoray,Geedcilmi,,Completed,,###############################################################################################################################################################################################################################################################,,,
Quarter III,WFP,Unspecified,Food Security,General Food Distribution,SACODO,Sanaag,Laasqoray,Tiicayo,,Completed,,###############################################################################################################################################################################################################################################################,,,
Quarter III,WFP,Unspecified,Food Security,General Food Distribution,SACODO,Sanaag,Laasqoray,Badhan,,Completed,,###############################################################################################################################################################################################################################################################,,,
Quarter III,WFP,Unspecified,Food Security,General Food Distribution,SACODO,Sanaag,Laasqoray,Mindigale,,Completed,,###############################################################################################################################################################################################################################################################,,,
Quarter III,WFP,Unspecified,Food Security,General Food Distribution,SACODO,Sanaag,Laasqoray,Rad,,Completed,,###############################################################################################################################################################################################################################################################,,,
Quarter III,WFP,Unspecified,Food Security,General Food Distribution,SACODO,Sanaag,Laasqoray,Laako,,Completed,,###############################################################################################################################################################################################################################################################,,,
Quarter III,WFP,Unspecified,Food Security,General Food Distribution,SACODO,Sanaag,Laasqoray,Mindhicir,,Completed,,###############################################################################################################################################################################################################################################################,,,
Quarter III,WFP,Unspecified,Food Security,General Food Distribution,SACODO,Sanaag,Laasqoray,Qoyan,,Completed,,###############################################################################################################################################################################################################################################################,,,
Quarter III,WFP,Unspecified,Food Security,General Food Distribution,SACODO,Sanaag,Laasqoray,Dharkayn,,Completed,,###############################################################################################################################################################################################################################################################,,,
Quarter III,WFP,Unspecified,Food Security,General Food Distribution,SACODO,Sanaag,Laasqoray,Habarshiro,,Completed,,###############################################################################################################################################################################################################################################################,,,
Quarter III,WFP,Unspecified,Food Security,General Food Distribution,SACODO,Sanaag,Laasqoray,Ceelbuh,,Completed,,###############################################################################################################################################################################################################################################################,,,
Quarter III,WFP,Unspecified,Food Security,General Food Distribution,SACODO,Sanaag,Laasqoray,Gooran,,Completed,,###############################################################################################################################################################################################################################################################,,,
